registrar_id,hostname,ip,timestamp
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:12:59.980
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:16:41.838
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:19:53.360
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:22:56.085
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:31:53.876
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:33:35.816
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 20:33:36.158
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 21:48:11.893
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-28 22:53:49.361
2681,mail0.ess.barracuda.com.,69.1.106.5,2016-10-29 20:11:51.159
8419,mail14.ess.barracuda.com.,64.235.154.104,2016-10-31 13:17:24.146
5833,50-124-55-95.drr02.mskg.mi.frontiernet.net.,50.124.55.95,2016-10-31 13:17:20.699
5833,50-124-55-95.drr02.mskg.mi.frontiernet.net.,50.124.55.95,2016-10-31 13:17:39.429
5833,50-124-55-95.drr02.mskg.mi.frontiernet.net.,2600:1007:b02b:eb11:f8eb:8303:ca6e:9faf,2016-11-03 10:42:45.305
5833,50-124-55-95.drr02.mskg.mi.frontiernet.net.,2600:1007:b02b:eb11:f8eb:8303:ca6e:9faf,2016-11-03 10:42:46.264
354,www.saintclaircounty.net.,12.47.83.14,2016-10-31 13:18:12.953
354,www.saintclaircounty.net.,12.47.83.14,2016-10-31 13:18:13.333
7252,mail0.ess.barracuda.com.,64.235.153.8,2016-10-31 13:18:23.313
3453,google-proxy-66-249-88-14.google.com.,66.249.88.14,2016-10-31 13:18:24.565
3453,google-proxy-66-249-88-14.google.com.,66.102.6.74,2016-11-01 09:28:24.998
4614,mail0.ess.barracuda.com.,64.235.153.8,2016-10-31 13:18:33.821
5687,mail14.ess.barracuda.com.,64.235.154.106,2016-10-31 13:18:52.666
8509,mail14.ess.barracuda.com.,64.235.154.141,2016-10-31 13:19:07.753
4950,mail14.ess.barracuda.com.,64.235.154.104,2016-10-31 13:19:09.120
4537,in-138-210-167-42.sta.embarqnow.net.,138.210.167.42,2016-10-31 13:19:38.408
4537,in-138-210-167-42.sta.embarqnow.net.,138.210.167.42,2016-10-31 13:19:39.437
