registrar_id,hostname,ip,timestamp,gmail_proxy
9301,mil-bb-pppoe6-ws-480.dsl.airstreamcomm.net.,64.33.205.227,2016-11-02 16:47:03.505,FALSE
3414,google-proxy-66-102-6-76.google.com.,66.102.6.76,2016-11-02 16:48:04.293,TRUE
3414,google-proxy-66-102-6-76.google.com.,66.102.6.72,2016-11-04 15:26:47.020,TRUE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-10-31 17:19:42.299,FALSE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-10-31 17:20:16.074,FALSE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-11-02 17:00:21.034,FALSE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-11-02 17:00:22.029,FALSE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-11-02 17:01:32.461,FALSE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-11-02 17:01:33.499,FALSE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-11-02 17:06:16.927,FALSE
1687,96-39-104-166.static.oxfr.ma.charter.com.,96.39.104.166,2016-11-02 17:06:17.077,FALSE
7411,google-proxy-66-249-80-4.google.com.,66.249.80.4,2016-10-31 14:16:56.420,TRUE
7411,google-proxy-66-249-80-4.google.com.,12.8.84.17,2016-10-31 14:18:24.621,TRUE
7411,google-proxy-66-249-80-4.google.com.,12.8.84.17,2016-11-02 17:51:20.888,TRUE
4055,,216.226.180.39,2016-10-31 17:53:02.108,FALSE
4055,,216.226.180.39,2016-11-02 18:11:36.110,FALSE
6805,google-proxy-66-102-6-72.google.com.,66.102.6.72,2016-11-02 19:52:19.784,TRUE
2918,d4-50-96-130.col.wideopenwest.com.,50.4.130.96,2016-11-02 20:40:20.750,FALSE
2660,,204.147.152.3,2016-11-02 22:24:23.370,FALSE
4878,fw01.otsegocountymi.gov.,66.129.39.145,2016-11-02 22:43:35.580,FALSE
5009,google-proxy-66-102-6-76.google.com.,66.102.6.76,2016-11-02 22:50:23.170,TRUE
5536,,207.212.113.139,2016-11-02 23:01:27.960,FALSE
2974,184-158-31-5.dyn.centurytel.net.,184.158.31.5,2016-11-02 23:09:18.517,FALSE
2574,ip-173-209-108-144.gsinet.net.,173.209.108.144,2016-11-02 23:31:56.844,FALSE
6529,,216.226.180.37,2016-11-02 20:53:21.452,FALSE
6529,,64.178.241.10,2016-11-03 10:46:49.913,FALSE
4318,,172.242.189.243,2016-11-03 12:06:56.709,FALSE
5356,,2601:6c1:100:dc10:759d:e435:c7b4:9866,2016-11-01 12:03:27.418,FALSE
5356,,2601:6c1:100:7dbf:9c7e:f96d:5d7b:6d6b,2016-11-01 12:10:57.923,FALSE
5356,,2601:6c1:100:7dbf:9c7e:f96d:5d7b:6d6b,2016-11-01 12:10:58.940,FALSE
